description_poste,niveau_étude
" Nous sommes ravis de vous annoncer le lancement de notre campagne des stages PFE pour l'année en cours. Cette initiative vise à offrir aux étudiants une expérience enrichissante au sein de notre entreprise, tout en favorisant le partage de connaissances entre nos équipes et les futurs talents. Sujets proposés : Développement : Vous serez au coeur de nos projets, travaillant sur des technologies de pointe pour créer des solutions innovantes. Data Engineering : Participez à la gestion et à l'optimisation des données, en utilisant les dernières technologies pour assurer leur intégrité et leur performance. Intelligence artificielle : Explorez le mode fascinant de l'IA en collaborant sur des projets concrets qui repoussent les limites de l'innovation. Tests automatisés : Contribuez à garantir la qualité de os produits en développant des suites de tests automatisés et en assurant une approche rigoureuse du contrôle qualité. Support applicatif : Acquérez une expérience précieuse en fournissant un support technique efficace aux utilisateurs, en résolvant des problèmes complexes et en assurant la disponibilité continue des applications. DevOps : Plongez dans l'univers de l'automatisation des déploiements, de la gestion des configurations et de l'optimisation des processus de développement. Ingénierie de formation : Contribuez à concevoir et mettre en oeuvre des programmes de formation innovants pour développer les compétences de nos équipes.",Bac+4
" Pour accompagner la croissance de notre centre de services international de Casablanca, nous recrutons un Développeur Automatisation Le département Automatisation a la charge de piloter et de réaliser les projets d’Automatisation de la direction V360. Il est très engagé sur le Défi #Simplifier et Automatiser qui cible l’amélioration de l’expérience client, le renforcement de notre agilité et la réduction des tâches sans valeur ajoutée. Activités principales Réaliser l’implémentation telle que définie lors de la phase d’étude et conception du projet à réaliser les développements dans le respect des règles d’éco-conception Réaliser les tests unitaires, les tests d’intégration, les tests 2 à 2 et les tests de performance, Assurer le respect des plannings, Fournir des conseils fonctionnels et techniques et partager les bonnes pratiques de développement, Rédiger les spécifications techniques détaillées des réalisations au fur et à mesure des itérations de développement,",Bac+5
" Au sein de CIO, le portefeuille Data&Referential « Data » contribue à la transformation d’Orange Business avec la mise en œuvre de solutions digitales, en France et à l’international, mais également en plaçant la data et l’IA (Intelligence Artificielle) au cœur de notre stratégie. Au travers du Programme Big Data B2B, Orange Business se donne l’ambition de tirer de la valeur de la donnée pour améliorer son efficacité opérationnelle et l’expérience client, mieux connaître ses clients afin de les fidéliser, mais aussi améliorer leur parcours digital. Vous serez accueilli dans le département « Analytics and Data Intelligence », qui regroupe les activités d'anticipation, d'études fonctionnelles, de projets (collecte de données et/ou réalisation de Use Cases) et de data science. Doté(e) d’une réelle volonté d’apprendre et de progresser, vous êtes amené(e) à contribuer dans la mise en place des outils d’analyse efficaces qui permettent à chacun de nos utilisateurs d’avoir une information à jour disponible et de qualité. Dans un contexte purement agile et multiculturel et en tant que Data analyst votre rôle consiste à : Communiquer avec le Product Owner pour gérer le backlog et définir les User stories. Estimer l'effort de développement et définir les spécifications détaillées des User stories Développement des users stories dans le cadre d’une architecture projet établie Conduire les tests unitaires et d'intégration Participer aux cérémonies agiles Assurer les déploiements dans les différents environnements (recette, pré production et production) Contribuer dans la maintenance corrective et évolutive des différents composants des applications Analytics (pipelines de données ETL avec plusieurs sources de données, y compris des pipelines Spark Big Data, couches sémantiques sur des univers SAP BO ou cubes SSAS, frontend Qlikview, SAP BO , PowerBI) Respecter les délais et les engagements Automatiser et industrialiser les opérations régulières (build, tests, audits de qualité de code, containerisation)",Bac+5
" Au sein d’une équipe projet fonctionnant en mode collaboratif et Agile scrum, Kanban, vous serez l’un des développeurs, travaillant en coordination avec le product-Owner, le Scrum Master, les Business Analysts, les développeurs et équipes partenaires. Dans ce contexte Agile, vous effectuerez différentes tâches : L’analyse des besoins métiers La proposition de solutions La définition des spécifications fonctionnelles L’écriture des spécifications techniques L’estimation du niveau d’effort de développement Le développement selon une architecture logicielle établie La conduite des tests unitaires et d’intégration Le développement des outillages de test associés L’automatisation et l’industrialisation des opérations régulières (process de build, les tests, les audits de qualité de code, la containerisation du code, …) La préparation des packages de livraison (mode devops) Vous assurez le support technique et la maintenance corrective et adaptative des éléments délivrés.",Bac+5
" Pour accompagner la croissance de notre activité au sein du centre de services international de Casablanca, nous recrutons un Concepteur Développeur Full-Stack Au sein d'une équipe pluridisciplinaire fonctionnant en mode agile Kanban, vous participerez à l’ensemble des phases du projet de la conception à la mise en production. En collaboration avec l’équipe, vous prendrez en charge les développements en Java/Springboot/Angular des composants applicatifs déployés via Gitlab CI. Les projets gérés par l’équipe étant stratégiques pour Orange, le niveau d'autonomie technique de performance et de fiabilité attendu est très élevé. Ce point nécessite une attention particulière dans la conception de l’architecture logicielle et le développement des solutions proposées. Dans ce cadre, vous serez amenés à : Assurer une forte collaboration avec le scrum master pour atteindre les objectifs projet. Analyser et Macro-chiffrer les propositions de solutions et user stories. Réaliser et Valider les conceptions techniques, et les modélisations BDD. Contribuer au partage des connaissances techniques et à la diffusion de la culture craftsmanship, le respect des bonnes pratiques de développement, contribuer à la cohérence de l'application. Réaliser le développement des versions correctives et évolutives, ainsi que les tests unitaires conformément aux règles en vigueur. Contribuer à l'analyse des retours suite aux phases de recettes Assurer le support technique à l’équipe de développement Contribuer aux à l'activité RUN et aux mises en production. Contribuer à la rédaction de la documentation projet",Bac+5
" We are seeking a Senior Business Intelligence Consultant to join our team. As a key member of our organization, you will be responsible for analyzing complex datasets, providing valuable insights, and assisting our clients in making data-driven decisions. If you have a passion for business intelligence and a strong analytical mindset, we would love to hear from you! Responsibilities: Data Analysis and Reporting: Analyze large and complex datasets to identify trends, patterns, and opportunities for business improvement. Develop insightful reports and visualizations to effectively communicate data findings to stakeholders. Business Strategy Development: Collaborate with clients to understand their business objectives and translate them into actionable business intelligence strategies. Provide recommendations based on data analysis to drive decision-making and optimize business performance. Data Modeling and Visualization: Design and develop data models that enable efficient analysis and reporting. Create interactive dashboards and visualizations using industry-standard tools to facilitate data exploration and understanding. Client Engagement: Engage with clients to understand their specific business needs and challenges. Serve as a trusted advisor, providing guidance and insights to help clients leverage data effectively.",Bac+5
" Main Responsibilities: • Support for the realization of various Data Science projects and participation in the success of our customers in many sectors of activity (health, industries, communications, financial services, etc.). • Frame and formalize the client's needs, expressed or not. • Seek the most appropriate scientific approach to the problem. • Participate in the automatic extraction and management of massive data, structured or not. • Perform statistical analyzes and transform data. • Build predictive models and evaluate their performance. • Contribute to the production of algorithms, to the industrialization of developments. • Restore and enhance its results with data visualization tools. • Participation in the animation of the collaborator's domain (events, presentations, etc.) and in the development strategy of the team. • Identify the needs and the problems of the business departments. • Define a statistical model which makes it possible to answer the problem. • Build analysis tools to collect company data. • Source and gather all the sources of structured or unstructured data necessary for the analysis. • Organize, study and synthesize these data sources in the form of exploitable results. • Construction of algorithms to improve search and targeting results. • Development of predictive models in order to anticipate the evolution of data and trends relating to the company's activity. • Model behaviors and extract new user uses. • Contribute to the production of algorithms, to the industrialization of developments. • Be responsible for the solutions delivered and their compliance with customer expectations. • Contribute to technological watch on Data Science and Big Data subjects and supervise less experienced employees (juniors and interns)",Bac+5
" About the job: Leyton Morocco provides high-value support to the group in business and engineering services. Our skilled resources and multilingual abilities enable us to serve a diverse customer base worldwide, expertly navigating even the most complex processes. Our expertise revolves around several activities: innovation funding, consulting, energy, and outsourced services. The main mission of the Big Data Engineer will be to coordinate all operational data management activities concerning various projects based on a Big Data stack. Main Responsibilities: Frame and translate user need into functional and technical business needs. Model and implement the infrastructures allowing the management of the company's Data in line with the different business challenges. Ensure the design and development of data flows (Ingestion, Data Modeling, Data Warehousing, Data Cleaning) with Big Data technologies. Study the source systems. Define the optimal strategy for the overall data management from the initial collection to the analysis. Automate interface processing tasks, expose data in API / Webservices. Be responsible for the solutions delivered and their compliance with customer expectations. Contribute to the technological watch on Big Data subjects and supervise less experienced employees (juniors and interns).",Bac+5
" Main Responsibilities: • Define product roadmap for the next 12 months. • Plays a key part of development events including planning, refinement, review, retrospective, sprints and daily scrums. • Work closely with Leadership to create and maintain a product backlog according to business value or ROI and management of product’s P&L. • Own product performance by setting success metrics and monitoring them to inform the future product roadmap. • Assess value, develop business cases, and prioritize items to ensure work focuses on those with maximum value that are aligned with product strategy. • Solicit, define and manage requirements for both internally and externally developed projects. • Oversees the creation, refinement and prioritization of the product backlog according to business and product strategy and set spring goals to contribute to the overall product vision. • Works closely with Development Leads and Scrum Masters to evaluate the product progress at the end of every sprint and accepts or rejects completed stories. • Understand, challenge and review technical design and architecture of the product and be tech curious. • Supports and holds accountable other supporting roles (such as sales, marketing, consulting, etc.) to the agreed deadlines and deliverables. • Writing test cases and running test campaigns. • Coordinate Business Implementation, UAD and leads review meetings to demonstrate enhancements/new features and obtain stakeholder signoffs. • Support product demonstrations, knowledge transfer and education. • Train the customer support and customer success teams on new capabilities in product releases.",Bac+5
" Do you want to be one of the key players in LEYTON Group's expansion and be part of an excellence & learning driven environment? This one is for you! Main missions: Organize the Agile ceremonies by planning the different sprint instances; Follow the smooth running of the Scrum method by involving each member of the team as much as possible; Former of the various speakers on the good practices of the Scrum methodology; Ensure the proper application of the Scrum method by accompanying each colleague closely; Communicate the vision and goals to the team; Train the Product Owner to write the components of the Project Backlog; Organize and facilitate Scrum rituals by setting up the necessary supports to ensure a smooth running; Identify and monitor the team / project KPIs; Coach the development team; Support new team members to facilitate integration; Eliminate elements that could disturb the team; Help the adoption of agile at the enterprise level; Work with other facilitators / animators to coordinate multiple teams / projects, if applicable. Qualifications/Experience Required: Bachelor's degree in computer science (Bac+5); 2 to 3 years of experience; Scrum certification is a plus; A developing background is a plus. What we have to offer: We offer many advantages to provide you with a pleasant and fun work environment! Attractive package with many social benefits (medical conventions, leisure activities...); International environment and start-up spirit in a large group; Continuous learning environment; Support throughout your career (career development path, internal and international development opportunities...); Seminars, team-buildings, team outings; Possibility to get involved in CSR projects; If you want to be part of a catalyst of talent while being involved in a real company project? Do not hesitate to apply, we are waiting for you! Open to all skills, Leyton is committed to equality, diversity and inclusion.",Bac+5
