Poste Description,Niveau Étude
" Pour l’un de nos projets, nous recrutons un Technical Leader Python . A ce titre vous assurez les missions suivantes : Concevoir et Maintenir en condition opérationnel des applications dans un environnement cloud (PAAS) Gestion des incidents et la correction des dysfonctionnements Rédaction des documentations techniques et tests automatisés (unitaire, intégration, non régression) Accompagner et soutenir les différents acteurs dans l’usage des outils",Bac+5
" Pour le poste de Gestionnaire sinistres AT et IA: Gestion de dossiers : • Traiter le courrier arrivé et assurer sa transmission aux compagnies et clients ; • Assurer les réclamations des documents nécessaires pour la bonne instruction de chaque dossier ; Renseigner Nawrass par toutes les informations ; • Assurer l’édition des quittances dans les délais fixés par le process gestion des sinistres AT ; • Assurer le suivi de la transaction amiable avec les compagnies. Gestion de la relation client : • Mettre, annuellement, à la disposition du client les PEC AT portant le cachet des compagnies d’assurances ; • Transmettre aux clients les listes actualisées des cliniques par compagnies d’assurances et les assister en cas de refus PEC par les cliniques, radiologues, pharmacies…etc. ; Suivi & reporting : • Mettre à la disposition des clients l’état d’avancement des dossiers AT ; • Assurer les rappels aux clients et compagnies à la réception de chaque document changeant le statut du dossier. • Impliquer le chargé de compte pour tout client ne complétant pas ses dossiers 2. Pour le poste de Gestionnaire production AT,IARC: Gestion de dossiers : • Assurer la gestion et le traitement des contrats et avenants ; • Veiller au bon renouvellement du terme avec toutes les compagnies d’assurance ; • Réceptionner et vérifier la conformité des dossiers notamment en validant la conformité des pièces réceptionnées quant aux conditions de souscription du produit concerné ; • Faire les relances nécessaires pour obtenir les documents manquants. Gestion de la relation client : • Apporter une réponse appropriée au client ; • Renseigner et conseiller le client dans le contexte légal du produit concerné par la demande ; • Réceptionner la demande des clients par téléphone Suivi & Reporting : • Veiller au respect des procédures en vigueur et assurer un reporting régulier des dossiers en cours ; • Prendre contact avec les clients et les compagnies d’assurances pour faire le suivi de l’état d’avancement des dossiers en cours.",Bac+3
" Rattaché à la Direction pôle courses, votre principale mission sera d’assurer l'entretien de la piste, du système d'arrosage et du matériel. Egalement le suivi de l’entretien des espaces verts. Vous aurez comme principales activités: • Appliquer le planning d'arrosage et du travail de la piste • Assurer la surveillance journalière de la piste pendant les entrainements des chevaux • Contribuer à la réparation des pannes électriques • Contribuer à la réparation des fuites au niveau du système d'arrosage • Nettoyer la bordure de la piste et entretenir les lices • Prendre les mesures pénétrométriques de la piste",Bac+2
" Projet Qualité : Participer à l’élaboration et le suivi de la feuille de route qualité ; Animer en collaboration avec les différents chefs projet et pilotes d’action identifiés dans la feuille de route qualité les avancements des projets qualité et remonter les indicateurs associées et tout éventuel risque de non atteinte d’objectif ; Suivre et analyser les KPI’s de son porte feuille projet (Performance & Avancement plan d’action moyen/long terme) ; Piloter les surveillances et les audits de pérennisation de projet qualité ; Piloter les modifications visant l’amélioration qualité process/produit selon les standards interne ; Qualifier les pièces, produits ou process en vie série dans le cadre des modification produits/process ; Représenter l’équipe qualité dans le cadre des projets de lancement nouveaux produits et/ou nouvelles lignes ; Réaliser des audits internes qualité. Amélioration Continue : Initialiser et piloter des projets d’amélioration de la performance globale qualité en utilisant les outils les plus appropriés ; Proposer des idées et projets d’amélioration. Indicateurs de Performance : S’approprier tous les indicateurs de performance qualité projet (qualité, délai, coût) ainsi que les impacts projets sur les indicateurs clés de l'entreprise en particulier (FFR, CNQ,….) ; Piloter/Participer aux analyses des causes de non atteinte des objectifs et contribuer aux plan d’action.",Bac+5
" PLAN DE COMMUNICATION INTERNE : Décliner en interne le plan de communication global de l’entreprise ; Déployer les grands axes de communication sociale (formation, culture d’entreprise…) fixés par la Direction des Ressources Humaines ; Etre force de proposition sur le choix des messages et des moyens de diffusion ; Etablir une veille sur les réalisations et les best practices mises en œuvre au sein d’autres entreprises ; Participer aux différentes initiatives de digitalisation, notamment RH. SUPPORTS & OUTILS DE COMMUNICATION INTERNE : Piloter l’élaboration des différents supports périodiques de communication interne (Flash info, journal interne…) : Proposition de contenu, rédaction, mise en forme ; Elaborer les différents guides et/ou supports ayant pour objectifs de communiquer et d’informer les salariés (Kit d’intégrations, guide informations pratiques, présentation de l’entreprise, vidéo marque employeur…) ; Animer au quotidien le contenu du site intranet de l’entreprise (mise en ligne de reportages, vidéos, photos, rubriques…) et être force de proposition sur les évolutions (fonctionnalités, ergonomie…) ; Faire évoluer et/ou concevoir de nouveaux supports de communication interne (plaquettes, brochures, « goodies »…). COMMUNICATION EXTERNE : Participer à la promotion de la Marque Employeur en diffusant les messages appropriés ; Etre le relais local pour l’équipe de communication externe corporate. ORGANISATION EVENEMENTIEL : Programmer et réaliser la communication en amont (affiches, invitations, télé…) et en aval des opérations (remerciements, synthèses, campagnes d’information…) ; Organiser et animer les événements salariés du type journée d’information, séminaires ; Concevoir des événements (soirées, repas…) relatifs à des moments particuliers de la vie de l’entreprise.",Bac+5
 En tant que chargé(e) de clientèle vos missions seront: Préparation et planification des Rendez-vous ; Supervision et géolocalisation des techniciens ; Traitement des échecs et reprise de Rendez-vous clients ; Gestion satisfaction client post intervention.,Bac+1
" Quel sera votre rôle dans la #TeamDeloitte ? Vous intégrez nos équipes Deloitte Sustainability en tant que Consultant Expérimenté Audit et Reporting ESG pour participer pleinement à des projets en tant que membre de l’équipe que vous intègrerez (économie circulaire, climat, finance durable, performance ESG, transformation opérationnelle, agro). Vous travaillez en étroite collaboration avec nos clients de grands groupes nationaux et internationaux. A ce titre, vous : Auditez et vérifiez les informations RSE au regard des exigences de reporting (Déclaration de performance extra-financière par exemple), auprès d’entreprises de tailles et de secteurs variés (de l’ETI aux groupes cotés, en France et à l’international), Optimisez les organisations et les processus associés au reporting extra-financier, Accompagnez les entreprises dans leur passage société à mission (définition de la raison d’être et des engagements, déclinaison opérationnelle, sécurisation du dispositif de reporting …), Analysez les données et les tendances ESG et identifiez les opportunités d'amélioration, Appréciez les procédures de reporting et de gestion des risques sociaux et environnementaux, Assurez la veille normative et réglementaire à destination de nos professionnels et de nos clients, Accompagnez les entreprises dans la définition et la mise en place de stratégies opérationnelles en termes d’économie circulaire, climat... Vous grandissez au sein d’une équipe où se mêlent pluridisciplinarité, expertise pointue, esprit d'entreprendre et forte cohésion. Tout au long de votre expérience vous développez et renforcez un set de compétences grâce aux programmes de formations proposés. Vous pourrez contribuer à la vie du Cabinet (recrutement des équipes, animation de formation, développement commercial, manager RH…).",Bac+5
" Mission Nous recrutons un Analyste Revenue Management. Vous veillerez à la bonne mise en place du pricing, remplissage des hôtels et de nos avions ainsi que des différentes actions inhérentes à l'optimisation de la marge. Au sein de notre l'équipe Yield / Revenue Management, vos missions sont : - L'optimisation et la maximisation de la marge des packages vendus, - Vérification des différents indicateurs afin de veiller au suivi de l'activité commerciale (revenus, taux d'occupation, veille concurrentielle, analyse d'historique, etc.), - La gestion de nos offres package (aérien et hôteliers) notamment la mise en avant des produits, le cadrage des stocks terrestres, - La production d'analyses statistique, de synthèse,",Bac+4
" En tant que Conseiller en Rétention, vous serez en charge de : Répondre aux demandes de résiliations reçues par téléphone Évaluer systématiquement les besoins des clients, les prendre en compte et dépasser leurs attentes. Garantir l'atteinte des objectifs quantitatifs et qualitatifs du projet.",Bac+2
" Rattaché à la direction des Achats, vos principales missions seront de : Missions principales: Collecter les fonds de dossiers et les contrôler en renseignant les check-lists Scanner les dossiers papier en cas de nécessité Assurer l'étiquetage nominatif des cartons de dossiers veiller à la mise en archive physique interne Sur demande mettre à disposition à disposition les dossiers physiques et électroniques Remettre les dossiers aux archives après contrôle Documenter les mouvements de dossiers Mettre ne place une organisation optimisée dans les bureaux pour le stockage et la prise en charge des dossiers en instance",Bac+2
